pickup_lat_grid,pickup_lon_grid,pct_morning_cell,pct_afternoon_cell,pct_evening_cell,pct_late_night_cell,pct_weekend_cell,pct_weekday_cell,pct_short_cell,pct_medium_cell,pct_long_cell,total_trips,pct_morning_city,pct_afternoon_city,pct_evening_city,pct_late_night_city,pct_weekend_city,pct_weekday_city,pct_short_city,pct_medium_city,pct_long_city,late_night_dev,weekend_dev,short_dev,night_life_score,night_rank
41.922,-87.651,10.58,18.86,30.75,39.81,44.53,55.47,35.9,56.82,7.28,202320,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,13.250000000000004,12.670000000000002,9.7399999999999984,11.886666666666668,23
41.945,-87.681,5.81,13.3,35.36,45.53,48.16,51.84,25.56,68.01,6.43,22700,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,18.970000000000002,16.299999999999997,-0.60000000000000142,11.556666666666665,24
41.885,-87.657,10.98,17.71,27.65,43.67,37.68,62.32,37.81,50.44,11.75,2095662,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,17.110000000000003,5.82,11.650000000000002,11.526666666666669,25
41.898,-87.654,17.33,16.83,23.65,42.2,38.1,61.9,38.0,52.99,9.01,390155,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,15.640000000000004,6.240000000000002,11.84,11.240000000000002,26
41.783,-87.599,11.37,14.55,47.75,26.33,32.73,67.27,58.93,21.34,19.73,101865,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-0.23000000000000043,0.86999999999999744,32.769999999999996,11.136666666666665,27
41.916,-87.675,10.66,15.88,28.6,44.86,50.61,49.39,22.5,70.2,7.3,114440,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,18.3,18.75,-3.66,11.13,28
41.915,-87.71,14.16,14.6,23.83,47.41,46.75,53.25,21.86,70.41,7.73,29508,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,20.849999999999998,14.89,-4.3000000000000007,10.479999999999999,29
41.906,-87.631,21.56,19.83,25.67,32.94,43.44,56.56,39.63,49.52,10.85,281660,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,6.379999999999999,11.579999999999998,13.470000000000002,10.476666666666667,30
41.893,-87.638,21.66,23.18,28.68,26.48,33.57,66.43,55.91,31.31,12.78,1208674,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-0.0799999999999983,1.7100000000000009,29.749999999999996,10.459999999999999,31
41.928,-87.705,9.88,16.75,26.52,46.85,49.92,50.08,19.16,72.52,8.33,123313,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,20.290000000000003,18.060000000000002,-7.0,10.450000000000003,32
41.927,-87.643,14.5,18.59,31.67,35.25,45.9,54.1,34.69,57.97,7.34,80740,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,8.6900000000000013,14.04,8.5299999999999976,10.42,33
41.929,-87.656,15.67,19.26,28.72,36.35,43.61,56.39,34.65,55.85,9.5,126347,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,9.7900000000000027,11.75,8.4899999999999984,10.01,34
41.79,-87.59,14.67,18.27,43.05,24.01,31.71,68.29,58.35,17.82,23.83,56141,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-2.5499999999999972,-0.14999999999999858,32.19,9.83,35
41.922,-87.69,13.48,17.09,26.58,42.85,50.77,49.23,20.07,71.31,8.62,64072,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,16.290000000000003,18.910000000000004,-6.09,9.7033333333333349,36
41.953,-87.661,7.8,20.09,31.47,40.64,46.74,53.26,25.72,61.95,12.33,32795,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,14.080000000000002,14.880000000000003,-0.44000000000000128,9.5066666666666677,37
41.916,-87.641,17.91,14.19,34.47,33.43,45.54,54.46,33.99,57.25,8.76,28627,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,6.870000000000001,13.68,7.8300000000000018,9.46,38
41.893,-87.653,21.23,22.24,30.31,26.23,36.86,63.14,48.77,42.19,9.03,360974,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-0.32999999999999829,5.0,22.610000000000003,9.0933333333333355,39
41.941,-87.676,13.35,14.87,40.37,31.4,52.4,47.6,27.67,64.69,7.64,16572,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,4.84,20.54,1.5100000000000016,8.9633333333333329,40
41.941,-87.686,12.75,14.6,31.71,40.94,52.9,47.1,17.58,72.01,10.41,15256,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,14.379999999999999,21.04,-8.5800000000000018,8.9466666666666672,41
41.936,-87.652,15.6,21.9,26.39,36.12,42.5,57.5,32.76,57.94,9.3,256169,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,9.5599999999999987,10.64,6.5999999999999979,8.9333333333333318,42
41.941,-87.681,9.18,15.28,34.72,40.81,48.0,52.0,22.47,69.73,7.81,22977,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,14.250000000000004,16.14,-3.6900000000000013,8.9,43
41.929,-87.666,15.88,18.1,33.45,32.57,44.67,55.33,33.32,57.62,9.06,107303,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,6.0100000000000016,12.810000000000002,7.16,8.6600000000000019,44
41.949,-87.662,9.94,19.07,30.65,40.33,44.04,55.96,26.11,63.35,10.53,78821,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,13.77,12.18,-0.050000000000000711,8.6333333333333329,45
41.929,-87.646,17.83,21.03,28.86,32.28,44.6,55.4,33.33,56.96,9.72,244883,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,5.7200000000000024,12.740000000000002,7.1699999999999982,8.5433333333333348,46
41.945,-87.662,10.13,21.29,34.8,33.78,46.33,53.67,30.0,61.55,8.46,66547,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,7.2200000000000024,14.469999999999999,3.84,8.51,47
41.802,-87.602,21.37,13.09,41.78,23.76,35.9,64.1,49.74,30.37,19.89,15399,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-2.7999999999999972,4.0399999999999991,23.580000000000002,8.2733333333333352,48
