pickup_lat_grid,pickup_lon_grid,pct_morning_cell,pct_afternoon_cell,pct_evening_cell,pct_late_night_cell,pct_weekend_cell,pct_weekday_cell,pct_short_cell,pct_medium_cell,pct_long_cell,total_trips,pct_morning_city,pct_afternoon_city,pct_evening_city,pct_late_night_city,pct_weekend_city,pct_weekday_city,pct_short_city,pct_medium_city,pct_long_city,late_night_dev,weekend_dev,short_dev,night_life_score,night_rank,signature,cluster_lat,cluster_lon,cluster_lat_500m,cluster_lon_500m,cluster_lat_400m,cluster_lon_400m
41.943,-87.647,14.69,15.97,24.04,45.3,48.53,51.47,27.43,62.05,10.52,209280,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,18.74,16.67,1.2699999999999996,12.226666666666665,20,Leans Nightlife Pocket,41.94,-87.65,41.945,-87.645,41.944,-87.648
41.936,-87.661,14.86,17.43,29.37,38.34,47.36,52.64,35.55,55.82,8.63,149912,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,11.780000000000005,15.5,9.389999999999995,12.223333333333334,21,Leans Nightlife Pocket,41.94,-87.66,41.935,-87.66,41.936,-87.66
42.006,-87.813,15.54,14.34,21.71,48.41,53.12,46.88,19.05,47.63,33.33,23107,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,21.85,21.26,-7.11,12.0,22,Mixed/Other,42.01,-87.81,42.005,-87.815,42.008,-87.812
41.922,-87.651,10.58,18.86,30.75,39.81,44.53,55.47,35.9,56.82,7.28,202320,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,13.250000000000004,12.670000000000002,9.739999999999998,11.886666666666668,23,Leans Nightlife Pocket,41.92,-87.65,41.92,-87.65,41.92,-87.652
41.945,-87.681,5.81,13.3,35.36,45.53,48.16,51.84,25.56,68.01,6.43,22700,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,18.97,16.299999999999997,-0.6000000000000014,11.556666666666665,24,Leans Nightlife Pocket,41.94,-87.68,41.945,-87.68,41.944,-87.68
41.885,-87.657,10.98,17.71,27.65,43.67,37.68,62.32,37.81,50.44,11.75,2095662,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,17.110000000000003,5.82,11.650000000000002,11.526666666666667,25,Mixed/Other,41.88,-87.66,41.885,-87.655,41.884,-87.656
41.898,-87.654,17.33,16.83,23.65,42.2,38.1,61.9,38.0,52.99,9.01,390155,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,15.640000000000004,6.240000000000002,11.84,11.240000000000002,26,Mixed/Other,41.9,-87.65,41.9,-87.655,41.896,-87.656
41.783,-87.599,11.37,14.55,47.75,26.33,32.73,67.27,58.93,21.34,19.73,101865,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-0.2300000000000004,0.8699999999999974,32.77,11.136666666666663,27,Mixed/Other,41.78,-87.6,41.785000000000004,-87.60000000000001,41.784,-87.60000000000001
41.916,-87.675,10.66,15.88,28.6,44.86,50.61,49.39,22.5,70.2,7.3,114440,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,18.3,18.75,-3.66,11.13,28,Leans Nightlife Pocket,41.92,-87.68,41.915,-87.675,41.916000000000004,-87.676
41.915,-87.71,14.16,14.6,23.83,47.41,46.75,53.25,21.86,70.41,7.73,29508,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,20.85,14.89,-4.300000000000001,10.48,29,Leans Nightlife Pocket,41.92,-87.71,41.915,-87.71000000000001,41.916000000000004,-87.708
41.906,-87.631,21.56,19.83,25.67,32.94,43.44,56.56,39.63,49.52,10.85,281660,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,6.379999999999999,11.579999999999998,13.470000000000002,10.476666666666668,30,Mixed/Other,41.91,-87.63,41.905,-87.63,41.904,-87.632
41.893,-87.638,21.66,23.18,28.68,26.48,33.57,66.43,55.91,31.31,12.78,1208674,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-0.0799999999999983,1.7100000000000009,29.75,10.46,31,Mixed/Other,41.89,-87.64,41.895,-87.64,41.892,-87.64
41.928,-87.705,9.88,16.75,26.52,46.85,49.92,50.08,19.16,72.52,8.33,123313,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,20.290000000000003,18.06,-7.0,10.450000000000005,32,Mixed/Other,41.93,-87.7,41.93,-87.705,41.928000000000004,-87.70400000000001
41.927,-87.643,14.5,18.59,31.67,35.25,45.9,54.1,34.69,57.97,7.34,80740,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,8.690000000000001,14.04,8.529999999999998,10.42,33,Mixed/Other,41.93,-87.64,41.925000000000004,-87.645,41.928000000000004,-87.644
41.929,-87.656,15.67,19.26,28.72,36.35,43.61,56.39,34.65,55.85,9.5,126347,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,9.790000000000001,11.75,8.489999999999998,10.01,34,Mixed/Other,41.93,-87.66,41.93,-87.655,41.928000000000004,-87.656
41.79,-87.59,14.67,18.27,43.05,24.01,31.71,68.29,58.35,17.82,23.83,56141,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-2.5499999999999967,-0.1499999999999985,32.19,9.83,35,Mixed/Other,41.79,-87.59,41.79,-87.59,41.792,-87.592
41.922,-87.69,13.48,17.09,26.58,42.85,50.77,49.23,20.07,71.31,8.62,64072,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,16.290000000000003,18.910000000000004,-6.09,9.703333333333337,36,Mixed/Other,41.92,-87.69,41.92,-87.69,41.92,-87.688
41.953,-87.661,7.8,20.09,31.47,40.64,46.74,53.26,25.72,61.95,12.33,32795,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,14.080000000000002,14.880000000000004,-0.4400000000000012,9.50666666666667,37,Leans Nightlife Pocket,41.95,-87.66,41.955,-87.66,41.952,-87.66
41.916,-87.641,17.91,14.19,34.47,33.43,45.54,54.46,33.99,57.25,8.76,28627,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,6.870000000000001,13.68,7.830000000000004,9.46,38,Mixed/Other,41.92,-87.64,41.915,-87.64,41.916000000000004,-87.64
41.893,-87.653,21.23,22.24,30.31,26.23,36.86,63.14,48.77,42.19,9.03,360974,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-0.3299999999999982,5.0,22.610000000000003,9.093333333333335,39,Mixed/Other,41.89,-87.65,41.895,-87.655,41.892,-87.652
41.941,-87.676,13.35,14.87,40.37,31.4,52.4,47.6,27.67,64.69,7.64,16572,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,4.84,20.54,1.5100000000000016,8.963333333333333,40,Mixed/Other,41.94,-87.68,41.94,-87.675,41.94,-87.676
41.941,-87.686,12.75,14.6,31.71,40.94,52.9,47.1,17.58,72.01,10.41,15256,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,14.38,21.04,-8.580000000000004,8.946666666666667,41,Mixed/Other,41.94,-87.69,41.94,-87.685,41.94,-87.688
41.936,-87.652,15.6,21.9,26.39,36.12,42.5,57.5,32.76,57.94,9.3,256169,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,9.559999999999999,10.64,6.599999999999998,8.933333333333332,42,Mixed/Other,41.94,-87.65,41.935,-87.65,41.936,-87.652
41.941,-87.681,9.18,15.28,34.72,40.81,48.0,52.0,22.47,69.73,7.81,22977,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,14.250000000000004,16.14,-3.690000000000001,8.9,43,Leans Nightlife Pocket,41.94,-87.68,41.94,-87.68,41.94,-87.68
41.929,-87.666,15.88,18.1,33.45,32.57,44.67,55.33,33.32,57.62,9.06,107303,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,6.010000000000002,12.810000000000002,7.16,8.660000000000004,44,Mixed/Other,41.93,-87.67,41.93,-87.665,41.928000000000004,-87.664
41.949,-87.662,9.94,19.07,30.65,40.33,44.04,55.96,26.11,63.35,10.53,78821,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,13.77,12.18,-0.0500000000000007,8.633333333333333,45,Leans Nightlife Pocket,41.95,-87.66,41.95,-87.66,41.948,-87.664
41.929,-87.646,17.83,21.03,28.86,32.28,44.6,55.4,33.33,56.96,9.72,244883,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,5.7200000000000015,12.740000000000002,7.169999999999998,8.543333333333335,46,Mixed/Other,41.93,-87.65,41.93,-87.645,41.928000000000004,-87.648
41.945,-87.662,10.13,21.29,34.8,33.78,46.33,53.67,30.0,61.55,8.46,66547,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,7.2200000000000015,14.47,3.84,8.51,47,Mixed/Other,41.94,-87.66,41.945,-87.66,41.944,-87.664
41.802,-87.602,21.37,13.09,41.78,23.76,35.9,64.1,49.74,30.37,19.89,15399,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-2.7999999999999967,4.039999999999999,23.58,8.273333333333335,48,Mixed/Other,41.8,-87.6,41.800000000000004,-87.60000000000001,41.800000000000004,-87.60000000000001
41.935,-87.643,18.33,19.2,29.75,32.72,46.22,53.78,30.4,59.94,9.66,86300,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,6.16,14.36,4.239999999999998,8.253333333333332,49,Mixed/Other,41.94,-87.64,41.935,-87.645,41.936,-87.644
41.938,-87.647,14.17,21.55,29.01,35.27,43.24,56.76,30.74,60.66,8.59,125658,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,8.710000000000003,11.380000000000004,4.579999999999998,8.223333333333334,50,Mixed/Other,41.94,-87.65,41.94,-87.645,41.936,-87.648
41.798,-87.594,15.58,20.97,41.16,22.29,31.33,68.67,55.4,27.84,16.76,107492,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-4.27,-0.5300000000000011,29.24,8.146666666666665,51,Mixed/Other,41.8,-87.59,41.800000000000004,-87.595,41.800000000000004,-87.592
41.98,-87.671,10.15,22.86,32.33,34.66,43.0,57.0,29.99,57.74,12.27,103904,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,8.099999999999998,11.14,3.8299999999999983,7.689999999999999,52,Mixed/Other,41.98,-87.67,41.980000000000004,-87.67,41.980000000000004,-87.672
41.965,-87.743,12.86,16.57,24.91,45.66,48.99,51.01,12.99,61.6,25.41,12832,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,19.1,17.130000000000003,-13.17,7.686666666666667,53,Mixed/Other,41.96,-87.74,41.965,-87.745,41.964,-87.744
41.798,-87.604,23.53,18.06,34.53,23.88,32.51,67.49,50.56,29.54,19.9,50463,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-2.68,0.6499999999999985,24.4,7.456666666666667,54,Mixed/Other,41.8,-87.6,41.800000000000004,-87.605,41.800000000000004,-87.604
41.912,-87.675,6.8,16.18,38.4,38.62,45.3,54.7,21.87,70.99,7.14,59882,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,12.06,13.439999999999998,-4.289999999999999,7.07,55,Leans Nightlife Pocket,41.91,-87.68,41.910000000000004,-87.675,41.912,-87.676
41.915,-87.646,13.78,16.76,32.42,37.04,39.0,61.0,29.54,61.41,9.06,78788,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,10.48,7.140000000000001,3.379999999999999,7.0,56,Mixed/Other,41.92,-87.65,41.915,-87.645,41.916000000000004,-87.648
41.916,-87.684,13.32,16.96,33.82,35.89,46.16,53.84,23.27,68.5,8.24,64751,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,9.33,14.299999999999995,-2.890000000000001,6.913333333333333,57,Mixed/Other,41.92,-87.68,41.915,-87.685,41.916000000000004,-87.684
41.915,-87.632,17.63,21.07,30.42,30.88,40.94,59.06,33.39,57.75,8.86,466072,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,4.32,9.079999999999998,7.23,6.876666666666666,58,Mixed/Other,41.92,-87.63,41.915,-87.63,41.916000000000004,-87.632
41.898,-87.641,33.76,22.09,31.48,12.67,32.31,67.69,59.93,29.57,10.5,58745,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-13.89,0.4500000000000028,33.77,6.7766666666666655,59,Mixed/Other,41.9,-87.64,41.9,-87.64,41.896,-87.64
41.963,-87.684,9.73,17.08,33.4,39.8,42.42,57.58,22.29,67.16,10.55,43535,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,13.239999999999998,10.560000000000002,-3.870000000000001,6.6433333333333335,60,Leans Nightlife Pocket,41.96,-87.68,41.965,-87.685,41.964,-87.684
41.935,-87.647,15.43,21.99,32.38,30.2,41.07,58.93,33.01,57.75,9.25,143451,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,3.640000000000001,9.21,6.849999999999998,6.5666666666666655,61,Mixed/Other,41.94,-87.65,41.935,-87.645,41.936,-87.648
41.893,-87.626,23.07,25.89,27.97,23.07,34.84,65.16,46.14,34.96,18.9,1358876,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-3.4899999999999984,2.980000000000004,19.98,6.490000000000002,62,Mixed/Other,41.89,-87.63,41.895,-87.625,41.892,-87.624
42.002,-87.674,22.78,23.34,18.5,35.38,41.2,58.8,27.43,48.68,23.89,84144,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,8.820000000000004,9.340000000000003,1.2699999999999996,6.476666666666669,63,Mixed/Other,42.0,-87.67,42.0,-87.675,42.0,-87.672
41.942,-87.661,11.76,19.57,37.28,31.39,40.33,59.67,32.12,59.61,8.27,43419,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,4.830000000000002,8.47,5.959999999999996,6.419999999999999,64,Mixed/Other,41.94,-87.66,41.94,-87.66,41.944,-87.66
41.922,-87.641,19.63,20.0,31.18,29.2,41.63,58.37,32.99,57.42,9.59,144171,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,2.640000000000001,9.770000000000003,6.830000000000002,6.413333333333335,65,Mixed/Other,41.92,-87.64,41.92,-87.64,41.92,-87.64
41.951,-87.667,15.9,19.87,30.48,33.76,42.33,57.67,27.58,62.32,10.1,107622,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,7.199999999999999,10.47,1.4199999999999982,6.363333333333332,66,Mixed/Other,41.95,-87.67,41.95,-87.665,41.952,-87.668
41.9,-87.632,29.01,22.46,27.52,21.0,35.26,64.74,46.16,41.86,11.98,365225,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-5.56,3.3999999999999986,20.0,5.946666666666665,67,Mixed/Other,41.9,-87.63,41.9,-87.63,41.9,-87.632
41.885,-87.643,22.38,23.29,30.45,23.88,28.81,71.19,49.42,37.31,13.27,924883,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-2.68,-3.0500000000000007,23.26,5.843333333333334,68,Mixed/Other,41.88,-87.64,41.885,-87.645,41.884,-87.644
41.906,-87.675,14.03,19.76,28.65,37.56,44.21,55.79,19.95,71.26,8.79,344260,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,11.000000000000004,12.35,-6.210000000000001,5.713333333333336,69,Mixed/Other,41.91,-87.68,41.905,-87.675,41.904,-87.676
41.945,-87.669,15.38,22.35,31.97,30.3,42.12,57.88,29.23,61.12,9.65,116146,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,3.740000000000002,10.259999999999998,3.0700000000000003,5.69,70,Mixed/Other,41.94,-87.67,41.945,-87.67,41.944,-87.668
41.903,-87.626,23.11,24.26,28.51,24.12,38.63,61.37,38.89,46.91,14.2,236211,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-2.4399999999999977,6.770000000000003,12.73,5.686666666666668,71,Mixed/Other,41.9,-87.63,41.905,-87.625,41.904,-87.624
41.921,-87.695,15.29,19.19,29.93,35.59,44.72,55.28,21.08,70.0,8.91,101132,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,9.030000000000003,12.86,-5.080000000000002,5.603333333333334,72,Mixed/Other,41.92,-87.7,41.92,-87.69500000000001,41.92,-87.696
41.958,-87.676,11.86,19.58,36.22,32.33,43.45,56.55,25.56,64.67,9.77,48010,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,5.77,11.590000000000003,-0.6000000000000014,5.586666666666666,73,Mixed/Other,41.96,-87.68,41.96,-87.675,41.96,-87.676
41.877,-87.622,18.9,30.3,27.71,23.09,32.49,67.51,45.53,36.26,18.21,700488,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-3.469999999999999,0.6300000000000024,19.37,5.510000000000002,74,Mixed/Other,41.88,-87.62,41.875,-87.62,41.876,-87.624
41.892,-87.675,14.96,20.98,29.16,34.9,41.78,58.22,24.33,66.7,8.97,67874,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,8.34,9.92,-1.8300000000000016,5.476666666666667,75,Mixed/Other,41.89,-87.68,41.89,-87.675,41.892,-87.676
41.902,-87.638,28.6,24.2,29.34,17.86,34.61,65.39,48.09,40.4,11.52,204256,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-8.7,2.75,21.930000000000003,5.326666666666668,76,Mixed/Other,41.9,-87.64,41.9,-87.64,41.904,-87.64
41.929,-87.661,19.69,18.92,34.15,27.25,40.18,59.82,33.12,56.48,10.4,79689,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,0.6900000000000012,8.32,6.959999999999996,5.323333333333332,77,Mixed/Other,41.93,-87.66,41.93,-87.66,41.928000000000004,-87.66
41.915,-87.654,14.2,24.52,32.4,28.88,39.06,60.94,32.45,59.4,8.15,290534,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,2.3200000000000003,7.200000000000003,6.290000000000003,5.270000000000001,78,Mixed/Other,41.92,-87.65,41.915,-87.655,41.916000000000004,-87.656
41.79,-87.601,8.13,22.41,43.7,25.75,19.89,80.11,54.62,26.61,18.77,481846,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,-0.8099999999999987,-11.97,28.46,5.226666666666667,79,Mixed/Other,41.79,-87.6,41.79,-87.60000000000001,41.792,-87.60000000000001
41.928,-87.695,16.35,15.35,32.58,35.72,44.32,55.68,20.03,72.01,7.96,31313,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,9.16,12.46,-6.129999999999999,5.163333333333334,80,Mixed/Other,41.93,-87.7,41.93,-87.69500000000001,41.928000000000004,-87.696
41.951,-87.671,17.77,20.06,32.72,29.45,44.11,55.89,26.09,62.54,11.37,45195,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,2.890000000000001,12.25,-0.0700000000000002,5.0233333333333325,81,Mixed/Other,41.95,-87.67,41.95,-87.67,41.952,-87.672
41.958,-87.672,14.47,21.19,33.32,31.02,42.36,57.64,26.18,63.92,9.9,48163,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,4.460000000000001,10.5,0.0199999999999995,4.993333333333333,82,Mixed/Other,41.96,-87.67,41.96,-87.67,41.96,-87.672
41.95,-87.644,19.84,22.19,26.37,31.61,40.98,59.02,26.62,61.89,11.49,247122,24.03,25.2,24.22,26.56,31.86,68.14,26.16,48.78,25.05,5.050000000000001,9.119999999999997,0.4600000000000008,4.876666666666666,83,Mixed/Other,41.95,-87.64,41.95,-87.645,41.952,-87.644
